3,Two people laugh.	#nn
3,Someone is writing	pvv
3,Someone is typing	pvv
3,Someone is typing	pvv
4,Young girls leaving school	aGvn
4,A baseball player punting.	danv
4,Women are dancing outside.	Gvvn
4,Rugby players having fun.	nnvn
4,Boys are playing soccer.	Gvva
4,Person doing bicycle jump	avnn
4,A lady looks surprised.	dnvv
4,Men wave from scaffolding.	Gn>v
4,A baseball player punting.	danv
4,A three-man band performs.	dunu
4,Three little girls smiling.	#aGv
4,The woman is drawing	dGvv
4,A girl is dancing	dGvv
4,A woman is crying	dGvv
4,A girl is crying	dGvv
4,Some women are talking	dGvv
4,One panda is climbing	#nvv
4,Two men are fighting	#Gvv
4,A plane is landing	dnvv
4,The plane is landing	dnvv
4,A man is sitting	dGvv
4,A classroom is empty	dnva
4,A man is scared	dGvv
4,A biker is naked	dnvv
4,A person is dancing	davv
4,No person is hiking	davv
4,Some men are resting	dGvv
4,A person is dancing	davv
4,A baby is sitting	davv
4,Men are cutting wood	Gvva
4,A woman is eating	dGvv
4,A kid is scared	dnvv
4,An aircraft is landing	dnvv
4,A kid is drawing	dnvv
4,Two women are talking	#Gvv
4,The men are talking	dGvv
4,The person is drawing	davv
4,A panda is climbing	dnvv
4,A plane is landing	dnvv
4,A man is dancing	dGvv
4,A man is drawing	dGvv
4,A man is crying	dGvv
4,A lemur is eating	dnvv
4,A woman is exercising	dGvv
4,A girl is exercising	dGvv
4,The man is exercising	dGvv
4,Some women are dancing	dGvv
4,The man is eating	dGvv
4,Some men are sawing	dGvv
4,Most librarians enjoy reading	Puuv
5,A jockey training his horse.	duvpn
5,Man swiftly riding a horse.	GAvdn
5,A schoolgirl climbing a tree.	duvdn
5,The brown dog is running.	daavv
5,Three dogs sniffing each other.	#nvda
5,Two dogs and a puppy.	#n+dn
5,Two adults on cellphones downtown.	#n>uu
5,People playing hockey on ice.	nvn>n
5,Man carrying too many boxes.	Gvuau
5,Boy flying a distant kite.	Gvdna
5,A child flying a kite.	dnvda
5,Young men watching Sesame Street.	aGvPn
5,Five older men playing pool	#nGvn
5,Five old men playing pool	#nGvn
5,Joggers wavy happily during race.	uuA>n
5,Women wearing sunglasses shopping downtown.	Gvnvu
5,A boy surrounded by pigeons	dGv>n
5,Woman trying to punch man.	Gv>nG
5,A jockey training his horse.	duvpn
5,Man swiftly riding a horse.	GAvdn
5,Boy in midair on bicycle	G>u>n
5,Kids watching a man skating.	nvdGv
5,A band practicing with viewers.	dnv>u
5,Child running on a sidewalk.	nv>dn
5,Cannot see picture to describe.	Pvn>u
5,Person jumping into the water.	av>dn
5,People wait to board boats.	nu>nn
5,The people are horseback riding.	dnvnv
5,Two kids riding on sleds	#nv>v
5,Two girls are playing softball.	#Gvva
5,Two kids riding on sleds	#nv>v
5,Small dog catching a Frisbee.	aavdP
5,Two people dressed in pink.	#nv>a
5,Vocalist singing into a microphone.	nv>dn
5,Two friends having a laugh.	#nvdn
5,A man and woman laughing.	dG+Gv
5,Distracted guy on cellphone walking.	Pn>nv
5,A man carrying a bicycle.	dGvdn
5,Two friends having a laugh.	#nvdn
5,A man and woman laughing.	dG+Gv
5,Two baby tigers are playing	#anvv
5,A dog is walking around	davvn
5,A small plane is landing	danvv
5,A boy is doing exercises	dGvvn
5,A man is running uphill	dGvvn
5,A cook is cracking eggs	dnvvn
5,A woman is frying  chicken	dGvvn
5,A tiger is strolling around	dnvvn
5,A woman is cutting garlic	dGvvn
5,The woman is slicing garlic	dGvvn
5,A woman is cutting garlic	dGvvn
5,There is no parrot speaking	Evdnv
5,Two sumo wrestlers are fighting	#uuvv
5,Two dogs are playing inside	#nvvn
5,The man is lowering barbells	dGvvn
5,A man is moving gracefully	dGvvA
5,A woman is peeling food	dGvvn
5,A man is doing exercise	dGvvn
5,A cow is eating hay	dnvvn
5,Some women are cheerfully dancing	dGvAv
5,A person is tearing sheets	davvn
5,A man is slicing potatoes	dGvvn
5,There are no tigers playing	Evdnv
5,The woman is not drawing	dGvnv
5,There is no girl dancing	EvdGv
5,A cook is breaking eggs	dnvvn
5,A sad woman is crying	dnGvv
5,Two baby pandas are playing	#anvv
5,A woman is cutting meat	dGvvn
5,The men are playing soccer	dGvva
5,A woman is cutting broccoli	dGvvn
